"","NumCom","CodeClient","Vendeur","PaysLivraison","VilleLivraison","DateCommande","Montant","Port"
"1",1,"Frans","Milou","Italie","Torino","12-mai-89"," 540,00   "," 82,00   "
"2",2,"Merep","Bill","Canada","Montréal","15-mai-89"," 6 584,75   "," 683,48   "
"3",3,"Folko","Tintin","Suède","Bräcke","16-mai-89"," 3 659,00   "," 378,90   "
"4",4,"Simob","Bill","Danemark","København","17-mai-89"," 2 490,90   "," 254,09   "
"5",5,"Vaffe","Tintin","Danemark","Århus","18-mai-89"," 15 971,00   "," 1 636,10   "
"6",6,"Warth","Asterix","Finlande","Oulu","22-mai-89"," 867,00   "," 126,70   "
"7",7,"Frans","Bill","Italie","Torino","23-mai-89"," 436,00   "," 45,60   "
"8",8,"Morgk","Felix","Allemagne","Leipzig","24-mai-89"," 7 025,00   "," 711,50   "
"9",9,"Fujo","Tintin","Portugal","Lisboa","25-mai-89"," 5 855,00   "," 596,50   "
"10",10,"Seves","Bill","Royaume-Uni","London","26-mai-89"," 7 650,00   "," 807,00   "
"11",11,"Simob","Bill","Danemark","København","30-mai-89"," 2 350,00   "," 277,00   "
"12",12,"Wellt","Milou","Royaume-Uni","","31-mai-89"," 2 945,25   "," 330,53   "
"13",13,"Linad","Milou","Suède","Svenstavik","01-juin-89"," 5 288,00   "," 541,80   "
"14",14,"Ricsu","Tintin","Suisse","Genève","02-juin-89"," 2 802,00   "," 303,20   "
"15",15,"Grosh","Felix","Suède","Frösön","05-juin-89"," 960,50   "," 124,05   "
"16",16,"Picco","Milou","Autriche","Salzburg","07-juin-89"," 7 117,50   "," 726,75   "
"17",17,"Folig","Tintin","France","Lille","08-juin-89"," 10 263,40   "," 1 067,34   "
"18",18,"Blonp","Felix","France","Strasbourg","09-juin-89"," 5 740,00   "," 588,00   "
"19",19,"Rattc","Felix","Etats-Unis","Albuquerque","12-juin-89"," 5 380,25   "," 541,03   "
"20",20,"Magaa","Milou","Italie","Bergamo","13-juin-89"," 459,00   "," 49,90   "
"21",21,"Vinet","Spirou","France","Reims","15-juin-89"," 2 240,00   "," 265,00   "
"22",22,"Ernsh","Tartempion","Autriche","Graz","16-juin-89"," 8 416,70   "," 854,67   "
"23",23,"Lamai","Dupont","France","Toulouse","19-juin-89"," 3 357,50   "," 383,75   "
"24",24,"Tomsp","Tintin","Allemagne","Münster","20-juin-89"," 1 855,00   "," 227,50   "
"25",25,"Rattc","Felix","Etats-Unis","Albuquerque","21-juin-89"," 11 117,50   "," 1 146,75   "
"26",26,"Rattc","Felix","Etats-Unis","Albuquerque","23-juin-89"," 929,00   "," 116,90   "
"27",27,"Morgk","Asterix","Allemagne","Leipzig","26-juin-89"," 87,00   "," 9,70   "
"28",28,"Ernsh","Tartempion","Autriche","","27-juin-89"," 16 729,50   "," 1 718,95   "
"29",29,"Antob","Spirou","Italie","Brescia","28-juin-89"," 4 850,00   "," 495,00   "
"30",30,"Santg","Tintin","Norvège","Stavern","29-juin-89"," 486,50   "," 67,65   "
"31",31,"Lillv","Dupont","Suède","Linköping","03-juil-89"," 4 549,55   "," 457,96   "
"32",32,"Suprd","Dupont","Belgique","Charleroi","04-juil-89"," 4 207,50   "," 439,75   "
"33",33,"Bolid","Bill","Suède","Halmstad","05-juil-89"," 474,40   "," 96,44   "
"34",34,"Ottk","Tintin","Allemagne","Köln","06-juil-89"," 4 252,50   "," 431,25   "
"35",35,"Eastc","Felix","Royaume-Uni","London","07-juil-89"," 3 735,00   "," 418,50   "
"36",36,"Hildv","Dupont","Suède","Uppsala","11-juil-89"," 9 924,15   "," 998,42   "
"37",37,"Centc","Obelix","Italie","Napoli","12-juil-89"," 1 755,00   "," 191,50   "
"38",38,"Vaffe","Spirou","Danemark","Århus","13-juil-89"," 2 192,15   "," 236,22   "
"39",39,"Oldwo","Dupont","Etats-Unis","Anchorage","14-juil-89"," 4 319,80   "," 473,98   "
"40",40,"Merep","Dupont","Canada","Montréal","17-juil-89"," 1 912,50   "," 212,25   "
"41",41,"Whitc","Tintin","Etats-Unis","Seattle","19-juil-89"," 9 950,00   "," 1 044,00   "
"42",42,"Hildv","Spirou","Suède","Uppsala","20-juil-89"," 4 103,75   "," 438,38   "
"43",43,"Folko","Obelix","Suède","Bräcke","21-juil-89"," 5 306,25   "," 576,63   "
"44",44,"Linad","Obelix","Suède","Svenstavik","24-juil-89"," 9 080,10   "," 946,01   "
"45",45,"Antob","Tintin","Italie","Brescia","25-juil-89"," 5 748,70   "," 618,87   "
"46",46,"Bergs","Obelix","Suède","Luleå","27-juil-89"," 6 237,05   "," 664,71   "
"47",47,"Santg","Tintin","Norvège","Stavern","28-juil-89"," 1 080,00   "," 111,00   "
"48",48,"Morgk","Felix","Allemagne","Leipzig","31-juil-89"," 1 099,00   "," 140,90   "
"49",49,"Hildv","Tartempion","Suède","Uppsala","01-août-89"," 3 250,00   "," 345,00   "
"50",50,"Tomsp","Asterix","Allemagne","Münster","02-août-89"," 1 575,00   "," 204,50   "
